case_id,path,lean_eligible,go_accepted,lean_accepted,go_class,lean_class,go_reason_code,lean_reason_code,behavior_match,detail_match,go_behavior_bytes,lean_behavior_bytes,go_detail_bytes,lean_detail_bytes,go_detail,lean_detail,note
conformance/invalid_bad_assumption_ref.json,C:/Users/nokclock/Documents/GitHub/collabsphere/platform-tooling/internal/certificates/testdata/conformance/invalid_bad_assumption_ref.json,true,false,false,kernel_validation_error,kernel_validation_error,assumption_ref_out_of_range,assumption_ref_out_of_range,true,true,"{""accepted"":false,""class"":""kernel_validation_error"",""reason_code"":""assumption_ref_out_of_range""}","{""accepted"":false,""class"":""kernel_validation_error"",""reason_code"":""assumption_ref_out_of_range""}","{""accepted"":false,""class"":""kernel_validation_error"",""detail"":""line 1: assumption_ref 2 exceeds assumptions length 1"",""reason_code"":""assumption_ref_out_of_range""}","{""accepted"":false,""class"":""kernel_validation_error"",""detail"":""line 1: assumption_ref 2 exceeds assumptions length 1"",""reason_code"":""assumption_ref_out_of_range""}",line 1: assumption_ref 2 exceeds assumptions length 1,line 1: assumption_ref 2 exceeds assumptions length 1,
conformance/invalid_bad_axiom_instance.json,C:/Users/nokclock/Documents/GitHub/collabsphere/platform-tooling/internal/certificates/testdata/conformance/invalid_bad_axiom_instance.json,true,false,false,kernel_validation_error,kernel_validation_error,axiom_instance_mismatch,axiom_instance_mismatch,true,true,"{""accepted"":false,""class"":""kernel_validation_error"",""reason_code"":""axiom_instance_mismatch""}","{""accepted"":false,""class"":""kernel_validation_error"",""reason_code"":""axiom_instance_mismatch""}","{""accepted"":false,""class"":""kernel_validation_error"",""detail"":""line 1: formula \""A -\u003e A\"" does not match axiom A1"",""reason_code"":""axiom_instance_mismatch""}","{""accepted"":false,""class"":""kernel_validation_error"",""detail"":""line 1: formula \""A -\u003e A\"" does not match axiom A1"",""reason_code"":""axiom_instance_mismatch""}","line 1: formula ""A -> A"" does not match axiom A1","line 1: formula ""A -> A"" does not match axiom A1",
conformance/invalid_bad_modus_ponens_order.json,C:/Users/nokclock/Documents/GitHub/collabsphere/platform-tooling/internal/certificates/testdata/conformance/invalid_bad_modus_ponens_order.json,true,false,false,kernel_validation_error,kernel_validation_error,mp_antecedent_mismatch,mp_antecedent_mismatch,true,true,"{""accepted"":false,""class"":""kernel_validation_error"",""reason_code"":""mp_antecedent_mismatch""}","{""accepted"":false,""class"":""kernel_validation_error"",""reason_code"":""mp_antecedent_mismatch""}","{""accepted"":false,""class"":""kernel_validation_error"",""detail"":""line 3: MP mismatch, line 2 is \""(A -\u003e ((B -\u003e A) -\u003e A)) -\u003e ((A -\u003e (B -\u003e A)) -\u003e (A -\u003e A))\"" but implication antecedent is \""A\"""",""reason_code"":""mp_antecedent_mismatch""}","{""accepted"":false,""class"":""kernel_validation_error"",""detail"":""line 3: MP mismatch, line 2 is \""(A -\u003e ((B -\u003e A) -\u003e A)) -\u003e ((A -\u003e (B -\u003e A)) -\u003e (A -\u003e A))\"" but implication antecedent is \""A\"""",""reason_code"":""mp_antecedent_mismatch""}","line 3: MP mismatch, line 2 is ""(A -> ((B -> A) -> A)) -> ((A -> (B -> A)) -> (A -> A))"" but implication antecedent is ""A""","line 3: MP mismatch, line 2 is ""(A -> ((B -> A) -> A)) -> ((A -> (B -> A)) -> (A -> A))"" but implication antecedent is ""A""",
conformance/invalid_bad_parse_formula.json,C:/Users/nokclock/Documents/GitHub/collabsphere/platform-tooling/internal/certificates/testdata/conformance/invalid_bad_parse_formula.json,true,false,false,parse_error,parse_error,goal_parse_error,goal_parse_error,true,true,"{""accepted"":false,""class"":""parse_error"",""reason_code"":""goal_parse_error""}","{""accepted"":false,""class"":""parse_error"",""reason_code"":""goal_parse_error""}","{""accepted"":false,""class"":""parse_error"",""detail"":""parse goal: unexpected end of formula"",""reason_code"":""goal_parse_error""}","{""accepted"":false,""class"":""parse_error"",""detail"":""parse goal: unexpected end of formula"",""reason_code"":""goal_parse_error""}",parse goal: unexpected end of formula,parse goal: unexpected end of formula,
conformance/invalid_bad_schema_missing_proof_id.json,C:/Users/nokclock/Documents/GitHub/collabsphere/platform-tooling/internal/certificates/testdata/conformance/invalid_bad_schema_missing_proof_id.json,true,false,false,schema_error,schema_error,missing_proof_id,missing_proof_id,true,true,"{""accepted"":false,""class"":""schema_error"",""reason_code"":""missing_proof_id""}","{""accepted"":false,""class"":""schema_error"",""reason_code"":""missing_proof_id""}","{""accepted"":false,""class"":""schema_error"",""detail"":""validate certificate json: proof_id is required"",""reason_code"":""missing_proof_id""}","{""accepted"":false,""class"":""schema_error"",""detail"":""validate certificate json: proof_id is required"",""reason_code"":""missing_proof_id""}",validate certificate json: proof_id is required,validate certificate json: proof_id is required,
conformance/invalid_final_goal_mismatch.json,C:/Users/nokclock/Documents/GitHub/collabsphere/platform-tooling/internal/certificates/testdata/conformance/invalid_final_goal_mismatch.json,true,false,false,kernel_validation_error,kernel_validation_error,final_goal_mismatch,final_goal_mismatch,true,true,"{""accepted"":false,""class"":""kernel_validation_error"",""reason_code"":""final_goal_mismatch""}","{""accepted"":false,""class"":""kernel_validation_error"",""reason_code"":""final_goal_mismatch""}","{""accepted"":false,""class"":""kernel_validation_error"",""detail"":""final goal mismatch, expected \""Q\"" but got \""P\"""",""reason_code"":""final_goal_mismatch""}","{""accepted"":false,""class"":""kernel_validation_error"",""detail"":""final goal mismatch, expected \""Q\"" but got \""P\"""",""reason_code"":""final_goal_mismatch""}","final goal mismatch, expected ""Q"" but got ""P""","final goal mismatch, expected ""Q"" but got ""P""",
conformance/invalid_mp_future_reference.json,C:/Users/nokclock/Documents/GitHub/collabsphere/platform-tooling/internal/certificates/testdata/conformance/invalid_mp_future_reference.json,true,false,false,kernel_validation_error,kernel_validation_error,mp_future_reference,mp_future_reference,true,true,"{""accepted"":false,""class"":""kernel_validation_error"",""reason_code"":""mp_future_reference""}","{""accepted"":false,""class"":""kernel_validation_error"",""reason_code"":""mp_future_reference""}","{""accepted"":false,""class"":""kernel_validation_error"",""detail"":""line 2: MP premises must reference previous lines only"",""reason_code"":""mp_future_reference""}","{""accepted"":false,""class"":""kernel_validation_error"",""detail"":""line 2: MP premises must reference previous lines only"",""reason_code"":""mp_future_reference""}",line 2: MP premises must reference previous lines only,line 2: MP premises must reference previous lines only,
conformance/invalid_unsupported_syntax.json,C:/Users/nokclock/Documents/GitHub/collabsphere/platform-tooling/internal/certificates/testdata/conformance/invalid_unsupported_syntax.json,true,false,false,parse_error,parse_error,unsupported_syntax,unsupported_syntax,true,true,"{""accepted"":false,""class"":""parse_error"",""reason_code"":""unsupported_syntax""}","{""accepted"":false,""class"":""parse_error"",""reason_code"":""unsupported_syntax""}","{""accepted"":false,""class"":""parse_error"",""detail"":""unsupported syntax \""hilbert-prop-utf8-v1\"" for rule pack \""classical-hilbert-v1\"""",""reason_code"":""unsupported_syntax""}","{""accepted"":false,""class"":""parse_error"",""detail"":""unsupported syntax \""hilbert-prop-utf8-v1\"" for rule pack \""classical-hilbert-v1\"""",""reason_code"":""unsupported_syntax""}","unsupported syntax ""hilbert-prop-utf8-v1"" for rule pack ""classical-hilbert-v1""","unsupported syntax ""hilbert-prop-utf8-v1"" for rule pack ""classical-hilbert-v1""",
conformance/valid_a_implies_a.json,C:/Users/nokclock/Documents/GitHub/collabsphere/platform-tooling/internal/certificates/testdata/conformance/valid_a_implies_a.json,true,true,true,accepted,accepted,accepted,accepted,true,true,"{""accepted"":true,""class"":""accepted"",""reason_code"":""accepted""}","{""accepted"":true,""class"":""accepted"",""reason_code"":""accepted""}","{""accepted"":true,""class"":""accepted"",""detail"":"""",""reason_code"":""accepted""}","{""accepted"":true,""class"":""accepted"",""detail"":"""",""reason_code"":""accepted""}",,,
conformance/valid_assumption_goal.json,C:/Users/nokclock/Documents/GitHub/collabsphere/platform-tooling/internal/certificates/testdata/conformance/valid_assumption_goal.json,true,true,true,accepted,accepted,accepted,accepted,true,true,"{""accepted"":true,""class"":""accepted"",""reason_code"":""accepted""}","{""accepted"":true,""class"":""accepted"",""reason_code"":""accepted""}","{""accepted"":true,""class"":""accepted"",""detail"":"""",""reason_code"":""accepted""}","{""accepted"":true,""class"":""accepted"",""detail"":"""",""reason_code"":""accepted""}",,,
conformance/valid_assumption_whitespace_equivalence.json,C:/Users/nokclock/Documents/GitHub/collabsphere/platform-tooling/internal/certificates/testdata/conformance/valid_assumption_whitespace_equivalence.json,true,true,true,accepted,accepted,accepted,accepted,true,true,"{""accepted"":true,""class"":""accepted"",""reason_code"":""accepted""}","{""accepted"":true,""class"":""accepted"",""reason_code"":""accepted""}","{""accepted"":true,""class"":""accepted"",""detail"":"""",""reason_code"":""accepted""}","{""accepted"":true,""class"":""accepted"",""detail"":"""",""reason_code"":""accepted""}",,,
conformance/valid_axiom_a3_instance.json,C:/Users/nokclock/Documents/GitHub/collabsphere/platform-tooling/internal/certificates/testdata/conformance/valid_axiom_a3_instance.json,true,true,true,accepted,accepted,accepted,accepted,true,true,"{""accepted"":true,""class"":""accepted"",""reason_code"":""accepted""}","{""accepted"":true,""class"":""accepted"",""reason_code"":""accepted""}","{""accepted"":true,""class"":""accepted"",""detail"":"""",""reason_code"":""accepted""}","{""accepted"":true,""class"":""accepted"",""detail"":"""",""reason_code"":""accepted""}",,,
invalid/bad_assumption_ref.json,C:/Users/nokclock/Documents/GitHub/collabsphere/platform-tooling/internal/certificates/testdata/invalid/bad_assumption_ref.json,true,false,false,kernel_validation_error,kernel_validation_error,assumption_ref_out_of_range,assumption_ref_out_of_range,true,true,"{""accepted"":false,""class"":""kernel_validation_error"",""reason_code"":""assumption_ref_out_of_range""}","{""accepted"":false,""class"":""kernel_validation_error"",""reason_code"":""assumption_ref_out_of_range""}","{""accepted"":false,""class"":""kernel_validation_error"",""detail"":""line 1: assumption_ref 2 exceeds assumptions length 1"",""reason_code"":""assumption_ref_out_of_range""}","{""accepted"":false,""class"":""kernel_validation_error"",""detail"":""line 1: assumption_ref 2 exceeds assumptions length 1"",""reason_code"":""assumption_ref_out_of_range""}",line 1: assumption_ref 2 exceeds assumptions length 1,line 1: assumption_ref 2 exceeds assumptions length 1,
invalid/bad_axiom_instance.json,C:/Users/nokclock/Documents/GitHub/collabsphere/platform-tooling/internal/certificates/testdata/invalid/bad_axiom_instance.json,true,false,false,kernel_validation_error,kernel_validation_error,axiom_instance_mismatch,axiom_instance_mismatch,true,true,"{""accepted"":false,""class"":""kernel_validation_error"",""reason_code"":""axiom_instance_mismatch""}","{""accepted"":false,""class"":""kernel_validation_error"",""reason_code"":""axiom_instance_mismatch""}","{""accepted"":false,""class"":""kernel_validation_error"",""detail"":""line 1: formula \""A -\u003e A\"" does not match axiom A1"",""reason_code"":""axiom_instance_mismatch""}","{""accepted"":false,""class"":""kernel_validation_error"",""detail"":""line 1: formula \""A -\u003e A\"" does not match axiom A1"",""reason_code"":""axiom_instance_mismatch""}","line 1: formula ""A -> A"" does not match axiom A1","line 1: formula ""A -> A"" does not match axiom A1",
invalid/bad_modus_ponens_order.json,C:/Users/nokclock/Documents/GitHub/collabsphere/platform-tooling/internal/certificates/testdata/invalid/bad_modus_ponens_order.json,true,false,false,kernel_validation_error,kernel_validation_error,mp_antecedent_mismatch,mp_antecedent_mismatch,true,true,"{""accepted"":false,""class"":""kernel_validation_error"",""reason_code"":""mp_antecedent_mismatch""}","{""accepted"":false,""class"":""kernel_validation_error"",""reason_code"":""mp_antecedent_mismatch""}","{""accepted"":false,""class"":""kernel_validation_error"",""detail"":""line 3: MP mismatch, line 2 is \""(A -\u003e ((B -\u003e A) -\u003e A)) -\u003e ((A -\u003e (B -\u003e A)) -\u003e (A -\u003e A))\"" but implication antecedent is \""A\"""",""reason_code"":""mp_antecedent_mismatch""}","{""accepted"":false,""class"":""kernel_validation_error"",""detail"":""line 3: MP mismatch, line 2 is \""(A -\u003e ((B -\u003e A) -\u003e A)) -\u003e ((A -\u003e (B -\u003e A)) -\u003e (A -\u003e A))\"" but implication antecedent is \""A\"""",""reason_code"":""mp_antecedent_mismatch""}","line 3: MP mismatch, line 2 is ""(A -> ((B -> A) -> A)) -> ((A -> (B -> A)) -> (A -> A))"" but implication antecedent is ""A""","line 3: MP mismatch, line 2 is ""(A -> ((B -> A) -> A)) -> ((A -> (B -> A)) -> (A -> A))"" but implication antecedent is ""A""",
invalid/bad_parse_formula.json,C:/Users/nokclock/Documents/GitHub/collabsphere/platform-tooling/internal/certificates/testdata/invalid/bad_parse_formula.json,true,false,false,parse_error,parse_error,goal_parse_error,goal_parse_error,true,true,"{""accepted"":false,""class"":""parse_error"",""reason_code"":""goal_parse_error""}","{""accepted"":false,""class"":""parse_error"",""reason_code"":""goal_parse_error""}","{""accepted"":false,""class"":""parse_error"",""detail"":""parse goal: unexpected end of formula"",""reason_code"":""goal_parse_error""}","{""accepted"":false,""class"":""parse_error"",""detail"":""parse goal: unexpected end of formula"",""reason_code"":""goal_parse_error""}",parse goal: unexpected end of formula,parse goal: unexpected end of formula,
invalid/bad_schema_missing_proof_id.json,C:/Users/nokclock/Documents/GitHub/collabsphere/platform-tooling/internal/certificates/testdata/invalid/bad_schema_missing_proof_id.json,true,false,false,schema_error,schema_error,missing_proof_id,missing_proof_id,true,true,"{""accepted"":false,""class"":""schema_error"",""reason_code"":""missing_proof_id""}","{""accepted"":false,""class"":""schema_error"",""reason_code"":""missing_proof_id""}","{""accepted"":false,""class"":""schema_error"",""detail"":""validate certificate json: proof_id is required"",""reason_code"":""missing_proof_id""}","{""accepted"":false,""class"":""schema_error"",""detail"":""validate certificate json: proof_id is required"",""reason_code"":""missing_proof_id""}",validate certificate json: proof_id is required,validate certificate json: proof_id is required,
valid/a_implies_a.json,C:/Users/nokclock/Documents/GitHub/collabsphere/platform-tooling/internal/certificates/testdata/valid/a_implies_a.json,true,true,true,accepted,accepted,accepted,accepted,true,true,"{""accepted"":true,""class"":""accepted"",""reason_code"":""accepted""}","{""accepted"":true,""class"":""accepted"",""reason_code"":""accepted""}","{""accepted"":true,""class"":""accepted"",""detail"":"""",""reason_code"":""accepted""}","{""accepted"":true,""class"":""accepted"",""detail"":"""",""reason_code"":""accepted""}",,,
valid/assumption_goal.json,C:/Users/nokclock/Documents/GitHub/collabsphere/platform-tooling/internal/certificates/testdata/valid/assumption_goal.json,true,true,true,accepted,accepted,accepted,accepted,true,true,"{""accepted"":true,""class"":""accepted"",""reason_code"":""accepted""}","{""accepted"":true,""class"":""accepted"",""reason_code"":""accepted""}","{""accepted"":true,""class"":""accepted"",""detail"":"""",""reason_code"":""accepted""}","{""accepted"":true,""class"":""accepted"",""detail"":"""",""reason_code"":""accepted""}",,,
